company;year;country;ERROWIN;MEPAWIN;DISPERWIN;ESGScoreWIN;ESGCombWIN;ENVPillarWIN;SocialPillarWIN;GovPillarWIN;QANALYST
AFEJ.J;2023;South Africa;0.93731199;0.00000000;0.05928237;15.00;15.00;15.00;17.00;15.00;2
AFEJ.J;2022;South Africa;0.94903476;0.94903476;0.00000000;59.09;59.09;45.95;56.62;77.00;1
AFEJ.J;2021;South Africa;0.00000000;0.00000000;0.00000000;60.85;60.85;40.14;65.55;77.00;0
AFEJ.J;2020;South Africa;0.93588784;0.93588784;0.00000000;60.75;60.75;39.45;66.17;77.00;1
AFEJ.J;2019;South Africa;0.93597494;0.93597494;0.00000000;15.00;56.12;31.54;68.97;77.00;2
AFEJ.J;2018;South Africa;0.92582677;0.92582677;0.00000000;40.66;40.66;20.63;44.08;70.27;2
AFEJ.J;2017;South Africa;0.92650457;0.92650457;0.04150793;36.99;36.99;15.00;40.91;69.55;3
AFEJ.J;2016;South Africa;0.93294697;0.93294697;0.00000000;35.48;35.48;19.37;34.32;65.89;1
AFEJ.J;2015;South Africa;0.92839805;0.92839805;0.02242620;37.47;37.47;20.03;31.99;77.00;2
AFEJ.J;2014;South Africa;0.91782007;0.91782007;0.03486842;39.08;39.08;18.35;36.34;77.00;2
AELJ.J;2023;South Africa;1.00000000;0.00173490;0.00000000;32.37;32.37;37.04;56.34;15.00;0
AELJ.J;2022;South Africa;1.00000000;0.00173490;0.00000000;40.58;40.58;31.67;60.87;25.73;0
AELJ.J;2021;South Africa;1.00000000;0.00173490;0.00000000;50.07;50.07;38.47;63.95;41.60;0
AELJ.J;2020;South Africa;1.00000000;0.00173490;0.00000000;43.24;43.24;27.41;68.29;26.42;0
AELJ.J;2019;South Africa;0.89763199;0.00173490;0.00000000;45.47;45.47;30.04;66.86;31.68;1
AELJ.J;2018;South Africa;0.00000000;0.00000000;0.00000000;47.82;28.57;31.04;73.05;31.12;0
AELJ.J;2017;South Africa;0.00000000;0.00000000;0.00000000;59.25;59.25;57.53;74.07;47.01;0
AELJ.J;2016;South Africa;0.00000000;0.00000000;0.00000000;70.50;70.50;59.55;76.00;65.77;0
AELJ.J;2015;South Africa;0.00000000;0.00000000;0.00000000;74.00;74.00;56.78;76.00;77.00;1
AELJ.J;2014;South Africa;0.00000000;0.00000000;0.00000000;62.27;62.27;54.31;62.52;64.44;0
AVIJ.J;2023;South Africa;0.00000000;0.00000000;0.02992673;55.61;55.61;31.90;58.71;76.32;7
AVIJ.J;2022;South Africa;0.00000000;0.00000000;0.01706498;55.82;55.82;35.81;61.49;68.05;6
AVIJ.J;2021;South Africa;0.00000000;0.00000000;0.02081741;62.11;62.11;41.26;62.05;77.00;9
AVIJ.J;2020;South Africa;0.69309973;0.00173490;0.05513012;58.75;58.75;41.42;59.95;75.75;9
AVIJ.J;2019;South Africa;0.00000000;0.00000000;0.01205081;60.00;60.00;41.64;61.99;76.75;10
AVIJ.J;2018;South Africa;0.00000000;0.00000000;0.01767255;55.88;55.88;41.08;48.59;77.00;12
AVIJ.J;2017;South Africa;0.81534689;0.00173490;0.01221684;56.63;56.63;46.42;51.62;76.53;10
AVIJ.J;2016;South Africa;0.85989936;0.00173490;0.01300878;55.50;55.50;46.93;53.74;67.97;10
AVIJ.J;2015;South Africa;0.95459048;0.00173490;0.01151520;58.51;58.51;49.29;59.26;67.34;10
AVIJ.J;2014;South Africa;0.93652392;0.00173490;0.05215643;55.09;55.09;46.74;51.31;70.81;10
BAWJ.J;2023;South Africa;0.89216384;0.00173490;0.15830828;62.49;62.49;36.60;75.32;76.67;6
BAWJ.J;2022;South Africa;0.86402744;0.00173490;0.13680325;67.41;67.41;36.35;76.00;77.00;5
BAWJ.J;2021;South Africa;0.84357672;0.00173490;0.10910783;66.85;66.85;46.22;72.00;77.00;8
BAWJ.J;2020;South Africa;0.94862726;0.00173490;0.36225000;71.88;71.88;52.76;73.81;77.00;10
BAWJ.J;2019;South Africa;0.85316708;0.00173490;0.03905495;68.19;68.19;52.71;73.57;77.00;10
BAWJ.J;2018;South Africa;0.84484469;0.00173490;0.03220150;69.58;69.58;51.47;76.00;77.00;10
BAWJ.J;2017;South Africa;0.85768319;0.00173490;0.01975626;68.53;68.53;47.67;76.00;75.11;13
BAWJ.J;2016;South Africa;0.86084416;0.00173490;0.05159134;74.00;74.00;74.00;76.00;77.00;8
BAWJ.J;2015;South Africa;0.82547327;0.00173490;0.03313102;74.00;74.00;74.00;76.00;77.00;11
BAWJ.J;2014;South Africa;0.76556745;0.00173490;0.06720662;74.00;74.00;74.00;76.00;69.85;9
GFIJ.J;2023;South Africa;0.67680865;0.00173490;0.13532310;74.00;74.00;74.00;76.00;62.12;8
GFIJ.J;2022;South Africa;0.59063413;0.00173490;0.09977070;74.00;74.00;74.00;76.00;75.42;8
GFIJ.J;2021;South Africa;0.91126422;0.00173490;0.07968450;74.00;74.00;74.00;76.00;52.41;8
GFIJ.J;2020;South Africa;0.95961593;0.00173490;0.26203632;74.00;74.00;74.00;76.00;56.81;11
GFIJ.J;2019;South Africa;0.97936125;0.00173490;0.32133634;74.00;74.00;74.00;76.00;60.97;10
GFIJ.J;2018;South Africa;1.04341791;0.00173490;0.36225000;74.00;74.00;74.00;76.00;76.64;11
GFIJ.J;2017;South Africa;0.97971376;0.00173490;0.19052755;74.00;74.00;74.00;76.00;73.84;13
GFIJ.J;2016;South Africa;0.97349789;0.00173490;0.14625060;74.00;74.00;74.00;76.00;73.09;14
GFIJ.J;2015;South Africa;0.99088838;0.00173490;0.24212500;73.80;73.80;72.69;73.81;75.37;14
GFIJ.J;2014;South Africa;0.98736962;0.00173490;0.19291600;71.23;71.23;73.21;65.16;77.00;12
HARJ.J;2023;South Africa;0.95259285;0.00173490;0.14907141;67.82;52.35;70.15;76.00;47.10;8
HARJ.J;2022;South Africa;0.96105305;0.00173490;0.28927653;66.02;39.91;70.97;76.00;42.06;8
HARJ.J;2021;South Africa;0.90887383;0.00173490;0.10449512;65.76;65.76;73.37;76.00;32.77;8
HARJ.J;2020;South Africa;0.98212244;0.00173490;0.36225000;70.99;51.40;72.37;76.00;51.17;7
HARJ.J;2019;South Africa;0.97418722;0.00173490;0.36225000;69.31;62.20;70.05;76.00;52.76;7
HARJ.J;2018;South Africa;0.85246735;0.00173490;0.26759295;67.79;40.37;67.06;76.00;50.19;10
HARJ.J;2017;South Africa;0.73011809;0.00173490;0.36225000;71.10;60.01;71.28;76.00;51.83;10
HARJ.J;2016;South Africa;0.87904640;0.00173490;0.35747161;74.00;50.34;71.27;76.00;74.95;10
HARJ.J;2015;South Africa;1.18239752;0.00173490;0.36225000;74.00;74.00;68.37;76.00;77.00;13
HARJ.J;2014;South Africa;0.97889545;0.00173490;0.36225000;72.56;43.74;70.36;76.00;69.54;13
IMPJ.J;2023;South Africa;2.34380000;0.00173490;0.11708784;15.00;15.00;15.00;17.00;15.00;10
IMPJ.J;2022;South Africa;2.34380000;0.00173490;0.13118965;74.00;42.81;74.00;73.59;60.23;10
IMPJ.J;2021;South Africa;2.34380000;0.00173490;0.21336023;74.00;74.00;74.00;73.47;61.60;10
IMPJ.J;2020;South Africa;2.34380000;0.00173490;0.19703886;72.82;69.14;74.00;73.58;57.86;8
IMPJ.J;2019;South Africa;2.34380000;0.00173490;0.17128568;74.00;74.00;74.00;76.00;67.95;7
IMPJ.J;2018;South Africa;0.62520294;0.00173490;0.36225000;65.62;65.62;68.58;73.83;47.92;12
IMPJ.J;2017;South Africa;1.68721743;0.00173490;0.36225000;50.82;43.35;67.96;45.59;34.84;14
IMPJ.J;2016;South Africa;1.00168393;0.00173490;0.36225000;59.12;59.12;72.24;41.28;69.57;13
IMPJ.J;2015;South Africa;0.93475953;0.00173490;0.36225000;62.06;62.06;65.03;44.08;77.00;16
IMPJ.J;2014;South Africa;0.00000000;0.00000000;0.35785202;58.47;45.46;65.58;43.69;72.50;15
SUIJ.J;2023;South Africa;0.98617469;0.00173490;0.00000000;66.31;66.31;69.55;76.00;39.33;1
SUIJ.J;2022;South Africa;0.00000000;0.00000000;0.00000000;61.66;61.66;74.00;76.00;26.36;0
SUIJ.J;2021;South Africa;0.00000000;0.00000000;0.00000000;64.55;64.55;74.00;73.66;38.29;0
SUIJ.J;2020;South Africa;0.00000000;0.00000000;0.00000000;71.05;71.05;74.00;76.00;43.36;0
SUIJ.J;2019;South Africa;1.21628173;0.00173490;0.00000000;64.05;64.05;74.00;76.00;23.12;1
SUIJ.J;2018;South Africa;0.85692033;0.00173490;0.15317354;58.37;58.37;73.25;70.38;26.96;2
SUIJ.J;2017;South Africa;0.80385005;0.00173490;0.18782677;60.17;60.17;74.00;69.88;29.23;3
SUIJ.J;2016;South Africa;0.00000000;0.00000000;0.00000000;59.50;48.80;74.00;63.20;36.47;0
SUIJ.J;2015;South Africa;0.00000000;0.00000000;0.00000000;66.18;66.18;74.00;66.71;54.34;0
SUIJ.J;2014;South Africa;0.00000000;0.00000000;0.00000000;49.28;49.28;70.00;42.83;40.30;0
MURJ.J;2023;South Africa;1.08732698;0.00173490;0.20481928;64.51;64.51;50.98;68.77;77.00;2
MURJ.J;2022;South Africa;0.87833334;0.00173490;0.00000000;66.12;66.12;53.39;76.00;67.74;1
MURJ.J;2021;South Africa;0.99860721;0.00173490;0.00000000;64.81;64.81;61.82;62.10;72.72;1
MURJ.J;2020;South Africa;0.97601338;0.00173490;0.36225000;56.75;56.15;50.39;64.52;54.94;2
MURJ.J;2019;South Africa;0.96927860;0.00173490;0.04268102;58.36;58.36;54.21;60.67;60.97;3
MURJ.J;2018;South Africa;0.99584278;0.00173490;0.29751998;59.89;57.22;62.48;41.35;77.00;4
MURJ.J;2017;South Africa;0.99818708;0.00173490;0.30426870;55.36;55.36;65.32;48.13;51.43;5
MURJ.J;2016;South Africa;0.99724365;0.00173490;0.01750374;56.99;50.37;63.63;48.48;59.52;4
MURJ.J;2015;South Africa;0.99166882;0.00173490;0.04808965;62.50;62.50;61.53;48.07;77.00;3
MURJ.J;2014;South Africa;0.95472449;0.00173490;0.06629194;66.06;56.24;66.42;49.97;77.00;6
PIKJ.J;2023;South Africa;1.07580816;0.00173490;0.17030894;68.90;68.90;62.47;76.00;61.88;9
PIKJ.J;2022;South Africa;1.10961044;0.00173490;0.04381647;65.24;65.24;74.00;66.77;53.81;7
PIKJ.J;2021;South Africa;0.25687894;0.00173490;0.16037071;62.57;62.57;74.00;66.13;44.96;12
PIKJ.J;2020;South Africa;0.60671265;0.00173490;0.05402715;59.10;59.10;72.22;61.62;44.58;11
PIKJ.J;2019;South Africa;0.77466319;0.00173490;0.05729812;49.13;49.13;56.58;59.06;27.32;10
PIKJ.J;2018;South Africa;0.93790054;0.00173490;0.02887214;55.92;55.92;59.87;58.86;48.08;12
PIKJ.J;2017;South Africa;0.97518490;0.00173490;0.02174540;60.83;60.83;68.28;69.15;41.61;14
PIKJ.J;2016;South Africa;0.98829398;0.00173490;0.02449533;56.84;56.84;66.73;70.51;27.14;15
PIKJ.J;2015;South Africa;0.97455183;0.00173490;0.03501576;15.00;15.00;15.00;17.00;15.00;13
PIKJ.J;2014;South Africa;0.00000000;0.00000000;0.10464148;52.34;52.34;61.74;59.40;33.59;13
SAPJ.J;2023;South Africa;0.00000000;0.00000000;0.29413882;61.77;61.77;30.44;76.00;77.00;7
SAPJ.J;2022;South Africa;0.00000000;0.00000000;0.11869033;74.00;74.00;73.76;76.00;76.33;7
SAPJ.J;2021;South Africa;0.97080202;0.00173490;0.22106299;74.00;74.00;70.84;76.00;77.00;5
SAPJ.J;2020;South Africa;1.00149919;0.00173490;0.36225000;74.00;74.00;72.77;76.00;77.00;7
SAPJ.J;2019;South Africa;0.77281572;0.00173490;0.08708779;74.00;74.00;74.00;76.00;77.00;7
SAPJ.J;2018;South Africa;0.00000000;0.00000000;0.04379942;74.00;74.00;59.69;76.00;77.00;6
SAPJ.J;2017;South Africa;0.00000000;0.00000000;0.01565939;74.00;74.00;69.77;76.00;77.00;6
SAPJ.J;2016;South Africa;0.00000000;0.00000000;0.03438947;74.00;74.00;74.00;76.00;77.00;5
SAPJ.J;2015;South Africa;0.00000000;0.00000000;0.03597918;74.00;74.00;70.15;76.00;77.00;5
SAPJ.J;2014;South Africa;0.00000000;0.00000000;0.09058442;73.23;73.23;60.26;76.00;77.00;5
TONJ.J;2023;South Africa;0.00000000;0.00000000;0.00000000;15.00;15.00;15.00;17.00;15.00;0
TONJ.J;2022;South Africa;0.00000000;0.00000000;0.00000000;15.00;15.00;15.00;17.00;15.00;
TONJ.J;2021;South Africa;0.00000000;0.00000000;0.00000000;60.39;50.20;50.39;75.77;44.82;0
TONJ.J;2020;South Africa;0.00000000;0.00000000;0.00000000;56.38;56.38;49.46;75.13;31.61;0
TONJ.J;2019;South Africa;0.00000000;0.00000000;0.00000000;66.31;66.31;51.22;75.05;67.80;0
TONJ.J;2018;South Africa;2.34380000;0.00173490;0.05257991;68.61;68.61;53.06;70.28;77.00;4
TONJ.J;2017;South Africa;1.71714995;0.00173490;0.07187081;63.99;63.99;52.85;64.95;74.58;4
TONJ.J;2016;South Africa;0.55163482;0.00173490;0.00471837;56.53;56.53;45.59;45.04;77.00;3
TONJ.J;2015;South Africa;0.07685858;0.00173490;0.24884125;58.18;35.67;48.41;45.37;77.00;4
TONJ.J;2014;South Africa;2.34380000;0.00173490;0.05326680;55.30;55.30;44.08;43.36;77.00;5
ERW.BK;2023;Thailand;0.99712200;0.00173490;0.12997365;15.00;15.00;15.00;17.00;15.00;14
ERW.BK;2022;Thailand;1.00127152;0.00173490;0.22011276;58.56;58.56;53.38;57.68;64.54;11
ERW.BK;2021;Thailand;1.00624892;0.00173490;0.23276921;49.75;49.75;46.06;42.75;63.58;15
ERW.BK;2020;Thailand;1.00656597;0.00173490;0.23206266;40.53;40.53;36.75;23.95;68.81;14
ERW.BK;2019;Thailand;1.00153703;0.00173490;0.10867170;28.19;28.19;15.00;22.28;59.58;15
ERW.BK;2018;Thailand;1.00099179;0.00173490;0.06838272;15.00;15.00;15.00;17.00;15.00;17
ERW.BK;2017;Thailand;1.00230060;0.00173490;0.04862211;15.00;15.00;15.00;17.00;15.00;12
ERW.BK;2016;Thailand;0.99886677;0.00173490;0.13380767;15.00;15.00;15.00;17.00;15.00;13
ERW.BK;2015;Thailand;0.99937856;0.00173490;0.11159825;15.00;15.00;15.00;17.00;15.00;12
ERW.BK;2014;Thailand;1.00043195;0.00173490;0.36225000;15.00;15.00;15.00;17.00;15.00;9
KCE.BK;2023;Thailand;0.98197399;0.00173490;0.11552555;59.90;59.90;36.78;68.03;74.23;12
KCE.BK;2022;Thailand;0.97807100;0.00173490;0.03342181;61.25;61.25;34.69;68.88;77.00;10
KCE.BK;2021;Thailand;0.97311695;0.00173490;0.03642962;57.07;57.07;25.14;72.04;70.68;9
KCE.BK;2020;Thailand;0.98549921;0.00173490;0.05693623;55.92;55.92;23.59;70.77;70.24;8
KCE.BK;2019;Thailand;0.98639959;0.00173490;0.05406144;56.36;56.36;15.53;70.51;77.00;8
KCE.BK;2018;Thailand;0.96418562;0.00173490;0.06395864;50.16;50.16;15.00;64.25;71.85;10
