"ticket","year","country","error","mape","disper","esg_score","esg_comb","env_pillar","social_pillar","gov_pillar","qanalyst"
"000080.KS",2014,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,16.14,16
"000080.KS",2015,"Korea; Republic (S. Korea)",0,0,0.181,15,15,15,17,15,13
"000080.KS",2016,"Korea; Republic (S. Korea)",0,0,0.17,15,15,15,17,15,17
"000080.KS",2017,"Korea; Republic (S. Korea)",0,0,0.184,15,15,15,17,15,17
"000080.KS",2018,"Korea; Republic (S. Korea)",0,0,0.177,15,15,15.66,17,15,16
"000080.KS",2019,"Korea; Republic (S. Korea)",0,0,0.299,17.84,17.84,15,17,28.75,14
"000080.KS",2020,"Korea; Republic (S. Korea)",0,0,0.362,15,15,16.42,17,15.39,21
"000080.KS",2021,"Korea; Republic (S. Korea)",1.84,0.002,0.091,23.09,23.09,38.02,17,21.49,16
"000080.KS",2022,"Korea; Republic (S. Korea)",0,0,0.144,25.67,25.67,42.03,17,29.45,14
"000080.KS",2023,"Korea; Republic (S. Korea)",0,0,0.073,15,15,15,17,15,15
"000100.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0,15,15,15,17,33.75,10
"000100.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0,18.85,18.85,15,17,45.37,12
"000100.KS",2016,"Korea; Republic (S. Korea)",0.663,0.002,0.107,15,15,15,17,29.53,17
"000100.KS",2017,"Korea; Republic (S. Korea)",0.377,0.002,0.085,16.91,16.91,15,17,24.1,15
"000100.KS",2018,"Korea; Republic (S. Korea)",0.434,0.002,0.085,26.66,26.66,29.2,19.42,35.61,17
"000100.KS",2019,"Korea; Republic (S. Korea)",0.31,0.002,0.258,34.5,34.5,44.56,21.69,46.27,16
"000100.KS",2020,"Korea; Republic (S. Korea)",0.306,0.002,0.125,35.77,35.77,51.35,29.27,33.64,16
"000100.KS",2021,"Korea; Republic (S. Korea)",0,0,0.129,54.65,54.65,71.02,64.49,27.93,22
"000100.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.095,62.61,62.61,72.42,72.49,40.64,24
"000100.KS",2023,"Korea; Republic (S. Korea)",1.799,0.002,0.204,15,15,15,17,15,15
"000120.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.097,15,15,15,17,15,18
"000120.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.298,28.09,28.09,33.44,17.71,35.18,17
"000120.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.33,54.38,54.38,64.28,55.4,41.18,20
"000120.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.233,55.2,55.2,63.07,56.85,43.61,22
"000120.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.21,55.95,55.95,65.27,56.74,43.73,19
"000120.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.237,58.74,58.74,53.53,59.07,64.57,23
"000120.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.258,54.36,54.36,59.07,61.99,38.78,18
"000120.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.161,58.81,38.23,49.65,76,43.95,14
"000120.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.362,56.57,56.57,55.83,76,28.87,14
"000120.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.11,15,15,15,17,15,14
"000150.KS",2014,"Korea; Republic (S. Korea)",0.406,0.002,0.333,50.5,50.5,50.43,49.77,51.79,15
"000150.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.234,62.44,62.44,59.19,64.3,64.2,12
"000150.KS",2016,"Korea; Republic (S. Korea)",2.097,0.002,0.362,59.46,59.46,60.29,55.55,64.62,14
"000150.KS",2017,"Korea; Republic (S. Korea)",0.395,0.002,0.113,70.23,70.23,72.12,64.24,77,13
"000150.KS",2018,"Korea; Republic (S. Korea)",0.878,0.002,0.261,74,74,74,76,54.07,10
"000150.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.362,74,74,74,76,77,6
"000150.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.362,71.05,71.05,70.26,76,59.12,5
"000150.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.324,69.6,69.6,73,75.57,54.88,0
"000150.KS",2022,"Korea; Republic (S. Korea)",0,0,0.154,63.81,63.81,71.39,67.97,45.93,7
"000150.KS",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,10
"000210.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.06,51.37,38.18,53.89,45.17,52.97,36
"000210.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.362,35.18,35.18,25.56,31.66,61.07,32
"000210.KS",2016,"Korea; Republic (S. Korea)",0,0,0.102,34.99,34.99,33.26,22.94,59.97,29
"000210.KS",2017,"Korea; Republic (S. Korea)",0,0,0.099,41.11,41.11,56.89,23.27,43.46,30
"000210.KS",2018,"Korea; Republic (S. Korea)",0,0,0.152,47.43,47.43,62.46,31.7,47.52,27
"000210.KS",2019,"Korea; Republic (S. Korea)",0,0,0.088,60.68,60.68,73.02,46.66,62.62,22
"000210.KS",2020,"Korea; Republic (S. Korea)",0.059,0.002,0.065,68,68,74,53.15,77,5
"000210.KS",2021,"Korea; Republic (S. Korea)",0.508,0.002,0.092,73.77,73.77,71.88,73.57,77,5
"000210.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.362,74,74,74,74.87,77,2
"000210.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.301,15,15,15,17,15,14
"000240.KS",2014,"Korea; Republic (S. Korea)",1,0.002,0.184,40.96,40.96,15,46.38,77,1
"000240.KS",2015,"Korea; Republic (S. Korea)",1,0.002,0,39.65,39.65,15,41.74,77,4
"000240.KS",2016,"Korea; Republic (S. Korea)",1,0.002,0.036,36.16,36.16,15,37.67,72.97,4
"000240.KS",2017,"Korea; Republic (S. Korea)",1,0.002,0.031,34.03,34.03,15,43.52,60.74,4
"000240.KS",2018,"Korea; Republic (S. Korea)",1,0.002,0.031,29.31,29.31,15,38.01,50.06,3
"000240.KS",2019,"Korea; Republic (S. Korea)",1,0.002,0.048,34.12,29.96,15,39.86,65.21,2
"000240.KS",2020,"Korea; Republic (S. Korea)",1,0.002,0.098,31.96,31.96,15,45.87,50.07,3
"000240.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.093,37.63,37.63,16.25,45.09,53.52,2
"000240.KS",2022,"Korea; Republic (S. Korea)",1,0.002,0.086,48.33,48.33,25.9,71.22,45.26,0
"000240.KS",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"000270.KS",2014,"Korea; Republic (S. Korea)",1,0.002,0.362,61.29,61.29,70.45,65.24,41.72,45
