ID;Continent;Ticket;Country;Company Name;Leading Business;Sector (GICS);Industry (GICS)
1;Africa;AELJ.J;South Africa;AECI;Chemicals & explosives;Materials;Specialty Chemicals
2;Africa;AFEJ.J;South Africa;African Equity Empowerment;Food & fishing;Consumer Staples;Agricultural Products
3;Africa;CLSJ.J;South Africa;Clicks Group;Pharmacy retail;Consumer Staples;Drug Retail
4;Africa;GPLJ.J;South Africa;Grand Parade Investments;Gaming & food investments;Consumer Discretionary;Casinos & Gaming
5;Africa;HYPJ.J;South Africa;Hyprop Investments;Shopping-center REIT;Real Estate;Retail REITs
6;Africa;MCGJ.J;South Africa;MultiChoice Group;Pay-TV broadcasting;Communication Services;Broadcasting
7;Africa;NPHJ.J;South Africa;Northam Platinum;Platinum mining;Materials;Precious Metals
8;Africa;NPNJn.J;South Africa;Naspers;Internet & technology investor;Communication Services;Interactive Media
9;Africa;SOLJ.J;South Africa;Sasol;Energy & chemicals;Energy;Integrated Oil & Gas
10;Africa;TKGJ.J;South Africa;Telkom SA;Telecommunications;Communication Services;Integrated Telecom
11;Africa;TONJ.J;South Africa;Tongaat Hulett;Sugar & agriculture;Consumer Staples;Agricultural Products
12;Africa;VODJ.J;South Africa;Vodacom;Mobile telecommunications;Communication Services;Wireless Telecom
13;Asia;ASTR.KL;Malaysia;Astro Malaysia Holdings;Satellite TV & media;Communication Services;Broadcasting
14;Asia;IOIP.KL;Malaysia;IOI Properties Group;Property development;Real Estate;Real Estate Development
15;Asia;SAEN.KL;Malaysia;SA Engineering;Industrial engineering;Industrials;Construction & Engineering
16;Asia;000240.KS;South Korea;Hankook & Company;Auto parts holding company (tires, batteries);Consumer Discretionary;Automobile Components
17;Asia;001230.KS;South Korea;Dongkuk Holdings;Steel manufacturing holding;Materials;Steel
18;Asia;002790.KS;South Korea;Amorepacific Group;Cosmetics holding;Consumer Staples;Personal Care Products
19;Asia;004990.KS;South Korea;Lotte Holdings;Conglomerate (retail, food, chemicals);Industrials;Industrial Conglomerates
20;Asia;009150.KS;South Korea;Samsung Electro-Mechanics;Electronic components;Information Technology;Electronic Components
21;Asia;011170.KS;South Korea;Lotte Chemical;Petrochemicals;Materials;Commodity Chemicals
22;Asia;015760.KS;South Korea;Korea Electric Power Engineering;Power engineering & construction;Industrials;Construction & Engineering
23;Asia;028260.KS;South Korea;Samsung C&T;Construction & trading conglomerate;Industrials;Construction & Engineering
24;Asia;035250.KS;South Korea;Kangwon Land;Casino resort operator;Consumer Discretionary;Casinos & Gaming
25;Asia;051900.KS;South Korea;LG H&H;Household & cosmetic products;Consumer Staples;Household Products
26;Asia;263750.KQ;South Korea;펄어비스 (Pearl Abyss);Video game development;Communication Services;Interactive Entertainment
27;Asia;EAND.AD;United Emirates Arab;Emirates Telecommunications Group Company PJSC; Integrated Telecommunication Services ;Communication Services;Telecommunication Services
28;Asia;AWC.BK;Thailand;Asset World Corp;Hospitality & real estate;Real Estate;Real Estate Management & Development
29;Asia;BCH.BK;Thailand;Bangkok Chain Hospital;Private hospitals;Health Care;Health Care Facilities
30;Asia;BEC.BK;Thailand;BEC World;Television broadcasting;Communication Services;Broadcasting
31;Asia;BJC.BK;Thailand;Berli Jucker;Consumer goods distribution & retail;Consumer Staples;Food & Staples Retailing
32;Asia;BPP.BK;Thailand;Banpu Power;Power generation;Utilities;Independent Power Producers
33;Asia;CRC.BK;Thailand;Central Retail;Retail conglomerate;Consumer Discretionary;Broadline Retail
34;Asia;EPG.BK;Thailand;Eastern Polymer Group;Specialty plastics & insulation;Materials;Specialty Chemicals
35;Asia;GFPT.BK;Thailand;GFPT;Poultry producer;Consumer Staples;Packaged Foods & Meats
36;Asia;HMPRO.BK;Thailand;Home Product Center;Home improvement retail;Consumer Discretionary;Home Improvement Retail
37;Asia;KEX.BK;Thailand;Kerry Express Thailand;Parcel delivery;Industrials;Air Freight & Logistics
38;Asia;MAJOR.BK;Thailand;Major Cineplex;Cinema operator;Communication Services;Movies & Entertainment
39;Asia;NRF.BK;Thailand;NR Instant Produce;Food ingredients;Consumer Staples;Packaged Foods & Meats
40;Asia;PSH.BK;Thailand;Pruksa Holding;Residential real estate;Real Estate;Real Estate Development
41;Asia;PTT.BK;Thailand;PTT;National oil & gas company;Energy;Integrated Oil & Gas
42;Asia;RBF.BK;Thailand;R&B Food Supply;Food ingredients;Consumer Staples;Packaged Foods & Meats
43;Asia;RS.BK;Thailand;RS Group;Media & commerce;Communication Services;Broadcasting
44;Asia;THAI.BK;Thailand;Thai Airways International;National flag carrier airline;Industrials;Passenger Airlines
45;Asia;TOA.BK;Thailand;TOA Paint;Paint & coatings;Materials;Specialty Chemicals
46;Asia;VGI.BK;Thailand;VGI;Advertising media;Communication Services;Advertising
47;Asia;WHAUP.BK;Thailand;WHA Utilities & Power;Utilities for industrial estates;Utilities;Multi-Utilities
48;Europe;AEFES.IS;Türkiye;Anadolu Efes;Brewer;Consumer Staples;Brewers
49;Europe;CIMSA.IS;Türkiye;Çimsa;Cement producer;Materials;Construction Materials
50;Europe;MAVI.IS;Türkiye;Mavi Giyim;Apparel retailer;Consumer Discretionary;Apparel Retail
51;Europe;MPARK.IS;Türkiye;MLP Sağlık;Hospital chain;Health Care;Health Care Facilities
52;Europe;PETKM.IS;Türkiye;Petkim;Petrochemicals;Materials;Commodity Chemicals
53;Europe;SOKM.IS;Türkiye;Şok Marketler;Discount grocery retail;Consumer Staples;Food Retail
54;Europe;TATGD.IS;Türkiye;Tat Gıda;Food processing;Consumer Staples;Packaged Foods & Meats
55;Europe;TAVHL.IS;Türkiye;TAV Airports;Airport operations;Industrials;Airport Services
56;Latin America;ABEV3.SA;Brazil;Ambev;Beer & beverages;Consumer Staples;Brewers
57;Latin America;BRAP4.SA;Brazil;Bradespar;Investment holding (Vale stake);Financials;Asset Management
58;Latin America;BRFS3.SA;Brazil;BRF;Global meat processor;Consumer Staples;Packaged Foods & Meats
59;Latin America;CCRO3.SA;Brazil;CCR;Toll roads & mobility concessions;Industrials;Transportation Infrastructure
60;Latin America;ELET6.SA;Brazil;Eletrobras;Electric power generation;Utilities;Electric Utilities
61;Latin America;EVEN3.SA;Brazil;Even Construtora;Residential construction;Consumer Discretionary;Homebuilding
62;Latin America;GFSA3.SA;Brazil;Gafisa;Real estate development;Real Estate;Real Estate Development
63;Latin America;PDGR3.SA;Brazil;PDG Realty;Real estate development;Real Estate;Real Estate Development
64;Latin America;AFYA.OQ;Brazil/USA listing;Afya Ltd;Medical education;Consumer Discretionary;Education Services
65;Latin America;BIMBOA.MX;Mexico;Grupo Bimbo;Global bakery products;Consumer Staples;Packaged Foods
66;Latin America;FEMSAUBD.MX;Mexico;FEMSA;Coca-Cola bottling & retail;Consumer Staples;Soft Drinks
67;Latin America;NEMAKA.MX;Mexico;Nemak;Auto aluminum components;Consumer Discretionary;Automobile Components
68;Latin America;FRES.L;United Kingdom;Fresnillo;Silver mining;Materials;Precious Metals
